Timestamp,Temperature_C,Solar_Radiation_Wm2
2026-09-08 00:00:00,26.0,0.0
2026-09-08 01:00:00,25.8,0.0
2026-09-08 02:00:00,25.5,0.0
2026-09-08 03:00:00,25.6,0.0
2026-09-08 04:00:00,25.6,0.0
2026-09-08 05:00:00,25.7,0.0
2026-09-08 06:00:00,25.9,0.0
2026-09-08 07:00:00,26.1,0.0
2026-09-08 08:00:00,26.8,3.0
2026-09-08 09:00:00,25.5,4.0
2026-09-08 10:00:00,26.2,71.0
2026-09-08 11:00:00,26.4,15.0
2026-09-08 12:00:00,27.8,283.0
2026-09-08 13:00:00,28.0,436.0
2026-09-08 14:00:00,27.7,365.0
2026-09-08 15:00:00,28.0,371.0
2026-09-08 16:00:00,27.1,248.0
2026-09-08 17:00:00,26.6,26.0
2026-09-08 18:00:00,26.2,24.0
2026-09-08 19:00:00,26.0,0.0
2026-09-08 20:00:00,25.7,0.0
2026-09-08 21:00:00,25.8,0.0
2026-09-08 22:00:00,26.0,0.0
2026-09-08 23:00:00,26.0,0.0
2026-09-09 00:00:00,25.3,0.0
2026-09-09 01:00:00,25.2,0.0
2026-09-09 02:00:00,25.0,0.0
2026-09-09 03:00:00,24.9,0.0
2026-09-09 04:00:00,24.9,0.0
2026-09-09 05:00:00,25.1,0.0
2026-09-09 06:00:00,25.3,0.0
2026-09-09 07:00:00,25.8,32.0
2026-09-09 08:00:00,26.1,42.0
2026-09-09 09:00:00,26.8,271.0
2026-09-09 10:00:00,26.3,255.0
2026-09-09 11:00:00,27.0,179.0
2026-09-09 12:00:00,27.7,313.0
2026-09-09 13:00:00,27.8,328.0
2026-09-09 14:00:00,28.1,426.0
2026-09-09 15:00:00,27.6,373.0
2026-09-09 16:00:00,27.3,207.0
2026-09-09 17:00:00,25.8,13.0
2026-09-09 18:00:00,25.7,0.0
2026-09-09 19:00:00,25.6,0.0
2026-09-09 20:00:00,25.5,0.0
2026-09-09 21:00:00,25.5,0.0
2026-09-09 22:00:00,25.5,0.0
2026-09-09 23:00:00,25.5,0.0
2026-09-10 00:00:00,25.5,0.0
2026-09-10 01:00:00,25.2,0.0
2026-09-10 02:00:00,24.8,0.0
2026-09-10 03:00:00,24.9,0.0
2026-09-10 04:00:00,24.5,0.0
2026-09-10 05:00:00,24.1,0.0
2026-09-10 06:00:00,24.1,0.0
2026-09-10 07:00:00,24.8,17.0
2026-09-10 08:00:00,25.6,26.0
2026-09-10 09:00:00,26.8,152.0
2026-09-10 10:00:00,27.5,121.0
2026-09-10 11:00:00,28.0,577.0
2026-09-10 12:00:00,27.6,400.0
2026-09-10 13:00:00,27.0,90.0
2026-09-10 14:00:00,27.3,115.0
2026-09-10 15:00:00,27.7,261.0
2026-09-10 16:00:00,26.8,96.0
2026-09-10 17:00:00,26.4,0.0
2026-09-10 18:00:00,25.6,3.0
2026-09-10 19:00:00,25.6,0.0
2026-09-10 20:00:00,25.4,0.0
2026-09-10 21:00:00,25.1,0.0
2026-09-10 22:00:00,24.9,0.0
2026-09-10 23:00:00,24.6,0.0
